"129"	"0.748"	"0.672"	"STOP"
"130"	"0.73"	"0.685"	"STOP"
"131"	"0.706"	"0.693"	"STOP"
"132"	"0.675"	"0.706"	"STOP"
"133"	"0.644"	"0.723"	"STOP"
"134"	"0.626"	"0.727"	"STOP"
"135"	"0.601"	"0.735"	"STOP"
"136"	"0.589"	"0.752"	"PORT"
"137"	"0.871"	"0.63"	"STOP"
"138"	"0.877"	"0.643"	"STOP"
"139"	"0.865"	"0.664"	"STOP"
"140"	"0.853"	"0.681"	"STOP"
"141"	"0.834"	"0.71"	"STOP"
"142"	"0.828"	"0.735"	"STOP"
"143"	"0.822"	"0.761"	"STOP"
"144"	"0.804"	"0.798"	"STOP"
"145"	"0.804"	"0.819"	"STOP"
"146"	"0.773"	"0.857"	"STOP"
"147"	"0.742"	"0.87"	"STOP"
"148"	"0.712"	"0.887"	"STOP"
"149"	"0.687"	"0.908"	"PORT"
