1	0.497	0.168
2	0.528	0.189
3	0.558	0.193
4	0.601	0.206
5	0.638	0.214
6	0.656	0.223
7	0.681	0.231
8	0.712	0.252
9	0.736	0.269
10	0.748	0.286
11	0.773	0.307
12	0.785	0.324
13	0.804	0.34
14	0.816	0.361
15	0.834	0.382
16	0.84	0.403
17	0.847	0.42
18	0.853	0.445
19	0.859	0.475
20	0.865	0.492
21	0.877	0.521
22	0.877	0.534
23	0.89	0.555
24	0.896	0.576
25	0.865	0.584
26	0.865	0.605
27	0.853	0.613
28	0.84	0.605
29	0.828	0.588
30	0.804	0.567
31	0.785	0.534
32	0.785	0.508
33	0.779	0.479
34	0.779	0.445
35	0.773	0.424
36	0.767	0.403
37	0.791	0.382
38	0.822	0.361
39	0.84	0.353
40	0.822	0.332
41	0.81	0.315
42	0.853	0.311
43	0.847	0.303
44	0.816	0.294
45	0.791	0.294
46	0.779	0.303
47	0.773	0.303
48	0.761	0.311
49	0.73	0.332
50	0.712	0.345
51	0.687	0.34
52	0.718	0.361
53	0.748	0.387
