136,135,66A,80A,0.0248904248197398,1
137,136,10A,61A,0.0268095124003115,1
138,137,142A,32A,0.084384845030314,1
139,138,57A,40A,0.0355960376330083,1
140,139,107A,79A,0.0860603724326741,1
141,140,78A,12A,0.0688400465111863,1
142,141,22A,6A,0.0538020377407445,1
143,142,134A,98A,0.0407394905524039,1
144,143,67A,59A,0.042878344785327,1
145,144,150A,30A,0.0768560623515967,1
146,145,19A,137A,0.0324975159324639,1
147,146,35A,65A,0.0228783626807439,1
148,147,5A,25A,0.0548352542587361,1
149,148,68A,70A,0.0767323968342958,1
150,149,31A,58A,0.0475651777920303,1
151,150,44A,55A,0.0587242880547592,1
152,151,88A,41A,0.0700101711778235,1
153,152,87A,69A,0.031926625592272,1
154,153,34A,105A,0.0245587852252533,1
155,154,7A,18A,0.0602257458736172,1
156,155,37A,67A,0.128999283424246,1
157,156,75A,95A,0.0638298718534136,1
158,157,26A,27A,0.065265216700642,1
