0,0.497,0.168
1,0.528,0.189
2,0.558,0.193
3,0.601,0.206
4,0.638,0.214
5,0.656,0.223
6,0.681,0.231
7,0.712,0.252
8,0.736,0.269
9,0.748,0.286
10,0.773,0.307
11,0.785,0.324
12,0.804,0.34
13,0.816,0.361
14,0.834,0.382
15,0.84,0.403
16,0.847,0.42
17,0.853,0.445
18,0.859,0.475
19,0.865,0.492
20,0.877,0.521
21,0.877,0.534
22,0.89,0.555
23,0.896,0.576
24,0.865,0.584
25,0.865,0.605
26,0.853,0.613
27,0.84,0.605
28,0.828,0.588
29,0.804,0.567
30,0.785,0.534
31,0.785,0.508
32,0.779,0.479
33,0.779,0.445
34,0.773,0.424
35,0.767,0.403
36,0.791,0.382
37,0.822,0.361
38,0.84,0.353
39,0.822,0.332
40,0.81,0.315
41,0.853,0.311
42,0.847,0.303
43,0.816,0.294
44,0.791,0.294
45,0.779,0.303
46,0.773,0.303
47,0.761,0.311
48,0.73,0.332
49,0.712,0.345
50,0.687,0.34
51,0.718,0.361
52,0.748,0.387
53,0.497,0.139
54,0.503,0.126
55,0.515,0.109
56,0.528,0
57,0.466,0.168
58,0.429,0.16
59,0.405,0.168
60,0.902,0.592
61,0.902,0.618
62,0.908,0.643
63,0.92,0.681
64,0.933,0.706
65,0.933,0.731
66,0.939,0.765
67,0.945,0.794
68,0.951,0.824
69,0.957,0.845
70,0.963,0.861
71,0.975,0.887
72,0.975,0.908
73,0.975,0.941
74,0.994,0.983
75,1,1
76,0.81,0.618
77,0.785,0.634
78,0.773,0.647
79,0.748,0.672
80,0.73,0.685
81,0.706,0.693
82,0.675,0.706
83,0.644,0.723
84,0.626,0.727
85,0.601,0.735
86,0.589,0.752
87,0.871,0.63
88,0.877,0.643
89,0.865,0.664
90,0.853,0.681
91,0.834,0.71
92,0.828,0.735
93,0.822,0.761
94,0.804,0.798
95,0.804,0.819
96,0.773,0.857
97,0.742,0.87
98,0.712,0.887
99,0.687,0.908
100,0.748,0.42
101,0.718,0.433
102,0.693,0.445
103,0.675,0.466
104,0.663,0.483
105,0.644,0.5
106,0.62,0.525
107,0.595,0.55
108,0.564,0.58
109,0.546,0.601
110,0.521,0.626
111,0.761,0.265
112,0.748,0.248
113,0.73,0.231
114,0.712,0.214
115,0.687,0.193
116,0.656,0.168
117,0.669,0.143
118,0.546,0.269
119,0.497,0.265
120,0.479,0.261
121,0.436,0.265
122,0.393,0.273
123,0.356,0.269
124,0.307,0.273
125,0.258,0.273
126,0.227,0.277
127,0.147,0.277
128,0.11,0.269
129,0.074,0.256
130,0.043,0.244
131,0,0.231
132,0.681,0.307
133,0.65,0.307
134,0.638,0.298
135,0.589,0.282
136,0.687,0.357
137,0.656,0.374
138,0.644,0.387
139,0.626,0.395
140,0.589,0.408
141,0.528,0.412
142,0.472,0.412
143,0.436,0.416
144,0.399,0.42
145,0.368,0.42
146,0.325,0.437
147,0.288,0.45
148,0.252,0.429
149,0.202,0.412
152,0.994,1
